CATEGORIA;PRODUCTO;DESCRIPCION;EMPRESA_TIENDA;PROD_CELIACO;CODIGO_BARRAS;FECHA_CREACION
Bebidas y jugos;Jugo de naranja, 3lt;Néctar;Ocle;True;NN;2024-10-31
Bebidas y jugos;Jugo de Frutilla y Frutos Rojos 3 , 3lt;Néctar;Ocle;True;NN;2024-10-31
Bebidas y jugos;Jugo de mango, 3lt;Néctar;Ocle;True;NN;2024-10-31
Bebidas y jugos;Nectar Piña caja 1Lt;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Nectar Naranja caja Mid 1lt;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Nectar Damasco, 200ml;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Nectar Damasco, 1lt;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Néctar Naranja 100% natural (premium) UHT, 330ml;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Piña100% natural (premium), UHT, 330ml;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Naranja (UHT), 200cc y 1lt;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Damasco (UHT), formato 200cc y 1lt;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Piña (UHT), 200cc y 1lt;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Durazno (UHT), 200cc y 1lt;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Manzana (UHT) , 200cc y 1lt;Néctar;Colun;True;NN;2024-10-31
Bebidas y jugos;Néctar Durazno, 200ml;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Néctar Manzana, 200ml;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Néctar Naranja, 200ml;Néctar;Soprole;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Naranja valencia, 350cc y 1 litro;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Papaya, 350cc y 1 litro;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Naranja 0%, 300cc, 1,5 litros y 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Durazno 0%, 300cc, 1,5 litros y 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Tuttifrutilla 0%, 300cc, 1,5 litros, 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Piña 0%, 1,5 litros y 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Maracuyá 0%, 1,5 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Mango 0%, 1,5 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Tuttiarandano 0%, 1,5 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Naranja 300cc, 1,5 litros y 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;"Néctar Watts Durazno, 237 cc, 300 cc y 350 cc; 1,5 litros y 1.75
litros";Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Damasco, 300cc y 350cc;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Piña 1,5 litros y 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Manzana 300cc y 1,5 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Tuttifrutilla 237 cc, 300cc, 1,5 litros, 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Tuttikiwi 300cc y 1,5 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
Bebidas y jugos;Néctar Watts Tuttiarándano 300cc, 1,5 litros y 1,75 litros;Néctar;Watt's - CCU;True;NN;2024-10-31
